Store,RR State,Store Format,Store Name,City,Timing
2799,NCR,FRESH,SavitriNagar,DELHI,9am-10pm
2800,NCR,FRESH,"Sector - 31, Gurgaon",GURGAON,9am-10pm
2801,NCR,FRESH,"Huda Market, Sector - 4, Gurgaon",GURGAON,9am-10pm
2844,NCR,FRESH,Kath Mandi,ROHTAK,9am-10pm
2845,NCR,FRESH,PLA chowk,HISSAR,9am-10pm
2856,NCR,FRESH,Hassanpur,DELHI,9am-10pm
2865,NCR,FRESH,Mandoli Main Road,DELHI,9am-10pm
3017,NCR,FRESH,Sarai rohilla,DELHI,9am-10pm
3062,NCR,FRESH,Nangloi Saiyed,NEW DELHI,9am-10pm
3079,NCR,FRESH,Ansal Plaza,GURGAON,9am-10pm
6240,NCR,FRESH,RF Vikaspuri,NEW DELHI,9am-10pm
2552,Orissa,FRESH,CuttackRoad,BHUBANESHWAR,9am-10pm
2553,Orissa,FRESH,Baramunda,BHUBANESHWAR,9am-10pm
2554,Orissa,FRESH,I.D.Market,BHUBANESHWAR,9am-10pm
2555,Orissa,FRESH,Sahidnagar,BHUBANESHWAR,9am-10pm
2556,Orissa,FRESH,Gopabandhu Square,BHUBANESHWAR,9am-10pm
2558,Orissa,FRESH,Dolamundai,CUTTACK,9am-10pm
2559,Orissa,FRESH,Kanika Square,CUTTACK,9am-10pm
2560,Orissa,FRESH,CDA,CUTTACK,9am-10pm
2562,Orissa,FRESH,Mahanadi Vihar,CUTTACK,9am-10pm
2752,Orissa,FRESH,Unit-4,BHUBANESHWAR,9am-10pm
2900,Orissa,FRESH,CDA Sec -9,CUTTACK,9am-10pm
2902,Orissa,FRESH,District Centre,BHUBANESHWAR,9am-10pm
2908,Orissa,FRESH,Mahatab Road,BHUBANESHWAR,9am-10pm
2931,Orissa,FRESH,Gandamunda,BHUBANESHWAR,9am-10pm
2932,Orissa,FRESH,GGP Colony,BHUBANESHWAR,9am-10pm
2933,Orissa,FRESH,"Galaxy Mall, Patia",BHUBANESHWAR,9am-10pm
2955,Orissa,FRESH,RF Jena Property,PURI,9am-10pm
2961,Orissa,FRESH,RF Lewis Plaza,BHUBANESHWAR,9am-10pm
2986,Orissa,FRESH,RF Tankapani Road,BHUBANESHWAR,9am-10pm
2991,Orissa,FRESH,RF Nayabazaar,CUTTACK,9am-10pm
